Date,Open,High,Low,Close,Volume,Adj Close
2014-01-13,98.26,98.67,97.67,98.52,1491100,88.8062
2014-01-10,97.40,98.48,97.15,97.94,2315800,88.2834
2014-01-09,98.15,98.97,97.71,97.76,1917200,88.1212
2014-01-08,99.76,99.79,98.06,98.42,1951600,88.7161
2014-01-07,99.06,99.69,98.45,99.69,1536400,89.8609
2014-01-06,99.25,99.95,98.96,99.19,1266300,89.4102
2014-01-03,98.85,99.73,97.64,99.50,1467800,89.6896
2014-01-02,100.30,100.90,98.96,98.99,2872200,89.2299
2014-01-01,99.29,99.29,99.29,99.29,000,89.5003
2013-12-31,99.29,99.29,99.29,99.29,000,89.5003
2013-12-30,100.25,100.45,99.25,99.29,1200300,89.5003
2013-12-27,99.50,100.25,99.41,100.25,1493500,90.3657
2013-12-26,99.06,99.06,99.06,99.06,000,89.293
2013-12-25,99.06,99.06,99.06,99.06,000,89.293
2013-12-24,99.06,99.06,99.06,99.06,000,89.293
2013-12-23,98.21,99.06,98.04,99.06,1528000,89.293
2013-12-20,97.80,98.41,97.50,98.01,4891500,88.3465
2013-12-19,96.64,97.40,95.75,97.40,3045900,87.7967
2013-12-18,95.06,95.64,94.87,95.20,2206500,85.8136
2013-12-17,95.58,95.99,94.90,94.90,1894200,85.5431
2013-12-16,93.06,96.51,93.00,96.00,2577100,86.5347
2013-12-13,93.61,93.88,93.04,93.29,1476300,84.0919
2013-12-12,93.33,94.10,93.17,93.62,1768500,84.3894
2013-12-11,94.00,94.84,93.67,93.81,1493000,84.5606
2013-12-10,94.62,95.14,93.63,94.15,1693800,84.8671
2013-12-09,95.24,95.65,94.57,94.60,1815000,85.2727
2013-12-06,93.50,94.86,93.36,94.68,2215800,85.3448
2013-12-05,93.80,94.56,93.37,93.37,2179300,84.164
2013-12-04,95.35,95.74,92.45,94.18,2669600,84.8941
2013-12-03,97.16,97.78,95.19,95.19,3024400,85.8046
2013-12-02,97.36,97.88,97.20,97.42,1652600,87.8147
2013-11-29,97.87,98.26,97.13,97.20,1624400,87.6164
2013-11-28,98.36,98.49,97.92,98.27,1239500,88.5809
2013-11-27,97.59,98.36,97.34,98.36,1331300,88.662
2013-11-26,97.20,98.07,97.20,97.60,1797500,87.9769
2013-11-25,97.00,98.11,96.53,97.76,1828000,88.1212
2013-11-22,95.86,96.87,95.32,96.87,1799400,87.3189
2013-11-21,96.14,96.20,95.22,95.94,1932500,86.4806
2013-11-20,96.20,97.06,96.16,96.85,1374000,87.3009
2013-11-19,96.51,96.80,96.05,96.20,1260600,86.715
2013-11-18,96.20,97.37,96.10,96.91,1476700,87.355
2013-11-15,96.73,97.01,96.32,96.72,2393200,87.1837
2013-11-14,96.00,96.98,95.82,96.98,1817900,87.4181
2013-11-13,94.34,95.57,94.30,95.20,1756900,85.8136
2013-11-12,95.02,95.72,94.50,94.87,1498100,85.5161
2013-11-11,95.19,96.32,95.19,95.59,1871200,86.1651
2013-11-08,95.00,95.62,93.79,95.62,2587600,86.1922
2013-11-07,94.05,97.61,93.67,95.66,5845700,86.2282
2013-11-06,92.75,92.97,92.20,92.53,1884800,83.4068
2013-11-05,92.50,92.98,91.71,92.41,2184500,83.2987
2013-11-04,93.85,94.16,93.45,93.58,1578200,84.3533
2013-11-01,94.20,94.46,93.79,93.96,1162300,84.6958
2013-10-31,92.94,94.18,92.82,94.18,2080200,84.8941
2013-10-30,94.19,94.47,93.61,93.73,1560400,84.4885
2013-10-29,93.50,94.37,93.50,94.28,1629000,84.9843
2013-10-28,93.88,93.88,92.86,93.54,1734100,84.3172
2013-10-25,93.40,93.88,92.91,93.85,1882600,84.5967
2013-10-24,93.10,93.64,92.87,93.64,1682300,84.4074
2013-10-23,91.98,92.91,91.90,92.51,1641800,83.3888
2013-10-22,90.20,92.74,90.14,92.40,2732300,83.2896
2013-10-21,90.61,91.00,90.22,90.51,1363800,81.586
2013-10-18,89.61,90.92,89.16,90.92,5953500,81.9556
2013-10-17,89.61,90.03,88.31,89.16,2081000,80.3691
2013-10-16,90.48,90.76,89.71,90.17,1993000,81.2795
2013-10-15,91.29,91.38,89.94,90.28,2215700,81.3787
2013-10-14,90.82,91.33,90.46,91.24,1021800,82.244
2013-10-11,91.70,91.70,90.82,91.40,1470400,82.3882
2013-10-10,88.95,90.84,88.65,90.69,2283300,81.7482
2013-10-09,89.43,89.76,88.56,88.71,1695700,79.9635
2013-10-08,89.74,90.06,89.41,89.50,1380300,80.6756
2013-10-07,90.02,90.02,88.59,89.77,1597000,80.9189
2013-10-04,89.90,90.95,89.68,90.51,1486600,81.586
2013-10-03,91.20,91.47,89.93,90.07,1474500,81.1894
2013-10-02,91.52,92.78,91.25,91.51,2724600,82.4874
2013-10-01,89.54,91.90,89.45,91.90,2846800,82.8389
2013-09-30,89.00,89.44,88.70,89.06,1806000,80.2789
2013-09-27,90.10,90.53,89.75,89.83,1696800,80.973
2013-09-26,90.27,90.51,89.59,90.20,1761700,81.3065
2013-09-25,89.50,90.30,89.32,90.18,1642200,81.2885
2013-09-24,89.70,89.93,88.31,89.66,1938800,80.8198
2013-09-23,89.75,90.32,89.36,89.72,2100900,80.8739
2013-09-20,90.33,90.90,89.89,90.17,6759300,81.2795
2013-09-19,90.45,91.33,89.94,90.33,2762600,81.4237
2013-09-18,89.00,89.76,89.00,89.70,2164700,80.8558
2013-09-17,87.62,88.67,87.54,88.58,1798200,79.8463
2013-09-16,87.97,88.00,87.35,87.99,1625500,79.3144
2013-09-13,86.87,87.25,86.44,86.94,1518600,78.368
2013-09-12,87.68,87.93,87.01,87.30,1623200,78.6925
2013-09-11,87.89,88.19,87.54,88.05,1675500,79.3685
2013-09-10,87.34,88.04,86.98,88.02,2603900,79.3415
2013-09-09,86.89,87.06,86.26,86.75,1638700,78.1967
2013-09-06,84.80,87.24,84.23,87.15,4040100,78.5573
2013-09-05,82.84,84.74,82.75,84.60,2913000,76.2587
2013-09-04,82.00,82.40,81.20,82.20,1704200,74.0953
2013-09-03,81.74,81.91,81.05,81.32,1309500,73.3021
2013-09-02,80.99,81.92,80.99,81.74,1449600,73.6807
2013-08-30,81.38,81.47,80.09,80.09,2094500,72.1934
2013-08-29,81.66,81.66,80.59,81.46,1305700,73.4283
2013-08-28,81.18,81.66,80.70,81.25,1767800,73.239
2013-08-27,82.60,83.27,81.60,81.60,2472000,73.5545
2013-08-26,82.10,82.95,82.10,82.93,643100,74.7534
2013-08-23,82.71,82.85,82.24,82.71,1109200,74.555
2013-08-22,81.59,82.89,81.59,82.79,1397200,74.6272
2013-08-21,81.91,82.10,81.52,81.73,1031600,73.6717
2013-08-20,82.24,82.49,81.34,82.14,1861800,74.0412
2013-08-19,83.47,83.50,82.19,82.81,1231900,74.6452
2013-08-16,83.01,83.92,83.01,83.57,2327900,75.3302
2013-08-15,84.20,84.30,82.68,83.50,1665300,75.2672
2013-08-14,83.66,84.45,83.58,84.38,1182700,76.0604
2013-08-13,83.75,84.03,83.36,83.56,1086900,75.3212
2013-08-12,83.76,83.96,82.20,83.66,1284900,75.4114
2013-08-09,83.37,84.11,82.75,83.54,1464700,75.3032
2013-08-08,83.21,83.71,82.63,83.15,1532500,74.9517
2013-08-07,83.19,83.46,82.60,83.43,1361100,75.2041
2013-08-06,83.99,85.13,83.18,83.48,2093600,75.2491
2013-08-05,83.59,84.15,83.30,83.99,1161500,75.7088
2013-08-02,84.50,84.59,83.52,83.75,1792400,75.4925
2013-08-01,83.10,84.45,83.05,84.45,3341700,76.1235
2013-07-31,80.60,82.31,78.93,82.31,4997700,74.1945
